# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "genomic.gff" "-o" "counts.txt" "-t" "gene" "-g" "ID" "-p" "-B" "SRR22805709.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22805709.sorted.bam
gene-T240_RS0100320	NZ_AXNK01000004.1	61722	62111	-	390	629
gene-T240_RS0100325	NZ_AXNK01000004.1	62265	63017	-	753	2055
gene-T240_RS0100330	NZ_AXNK01000004.1	63157	63609	-	453	274
gene-T240_RS0100335	NZ_AXNK01000004.1	63710	64636	-	927	27
gene-T240_RS0100340	NZ_AXNK01000004.1	64749	65639	+	891	176
gene-T240_RS0100345	NZ_AXNK01000004.1	65727	66764	+	1038	2929
gene-T240_RS0100350	NZ_AXNK01000004.1	66802	67242	-	441	184
gene-T240_RS0100355	NZ_AXNK01000004.1	67258	68607	-	1350	248
gene-T240_RS0100360	NZ_AXNK01000004.1	68600	69355	-	756	76
gene-T240_RS0100365	NZ_AXNK01000004.1	69359	70378	-	1020	71
gene-T240_RS0100370	NZ_AXNK01000004.1	70341	72095	-	1755	135
gene-T240_RS0100375	NZ_AXNK01000004.1	72099	72455	-	357	68
gene-T240_RS0100380	NZ_AXNK01000004.1	72472	73803	-	1332	96
gene-T240_RS0100385	NZ_AXNK01000004.1	73803	74825	-	1023	28
gene-T240_RS0100390	NZ_AXNK01000004.1	75212	76030	+	819	77
gene-T240_RS0100395	NZ_AXNK01000004.1	76027	76398	+	372	21
gene-T240_RS0100400	NZ_AXNK01000004.1	76417	77175	+	759	42
gene-T240_RS0100405	NZ_AXNK01000004.1	77188	77457	+	270	27
gene-T240_RS0100410	NZ_AXNK01000004.1	77457	78233	+	777	19
gene-T240_RS0100415	NZ_AXNK01000004.1	78230	79357	+	1128	60
gene-T240_RS0100420	NZ_AXNK01000004.1	79389	81479	+	2091	500
gene-T240_RS0100425	NZ_AXNK01000004.1	81472	82269	+	798	453
gene-T240_RS0100430	NZ_AXNK01000004.1	82574	83428	+	855	1187
gene-T240_RS0100435	NZ_AXNK01000004.1	83496	83786	-	291	14
gene-T240_RS0100440	NZ_AXNK01000004.1	84203	85540	+	1338	67
gene-T240_RS0100445	NZ_AXNK01000004.1	85560	85946	+	387	4
gene-T240_RS0100450	NZ_AXNK01000004.1	85930	86250	+	321	14
gene-T240_RS0100455	NZ_AXNK01000004.1	86247	87329	+	1083	65
gene-T240_RS0100460	NZ_AXNK01000004.1	87353	87853	+	501	11
gene-T240_RS0100465	NZ_AXNK01000004.1	87866	88594	+	729	125
gene-T240_RS0100470	NZ_AXNK01000004.1	88605	89462	+	858	99
gene-T240_RS0100475	NZ_AXNK01000004.1	89462	90454	+	993	217
gene-T240_RS0100480	NZ_AXNK01000004.1	90551	90853	+	303	80
gene-T240_RS0100485	NZ_AXNK01000004.1	90850	91227	-	378	359
gene-T240_RS0100490	NZ_AXNK01000004.1	91340	91555	-	216	32
gene-T240_RS0100495	NZ_AXNK01000004.1	91695	92168	-	474	58
gene-T240_RS0100500	NZ_AXNK01000004.1	92267	92812	+	546	338
gene-T240_RS0100505	NZ_AXNK01000004.1	92911	93375	+	465	263
gene-T240_RS0100510	NZ_AXNK01000004.1	93599	94543	+	945	510
gene-T240_RS0100515	NZ_AXNK01000004.1	94568	95650	+	1083	317
gene-T240_RS0100520	NZ_AXNK01000004.1	95699	98122	-	2424	169
gene-T240_RS0100525	NZ_AXNK01000004.1	98125	99054	-	930	37
gene-T240_RS0100530	NZ_AXNK01000004.1	99269	99943	+	675	8
gene-T240_RS0100535	NZ_AXNK01000004.1	100288	100800	+	513	234
gene-T240_RS0100540	NZ_AXNK01000004.1	100811	101266	-	456	1153
gene-T240_RS0100545	NZ_AXNK01000004.1	101452	102534	-	1083	6887
gene-T240_RS0100550	NZ_AXNK01000004.1	102653	103123	-	471	225
gene-T240_RS0100555	NZ_AXNK01000004.1	103256	104446	+	1191	118
gene-T240_RS0100560	NZ_AXNK01000004.1	104421	105389	+	969	366
gene-T240_RS0100565	NZ_AXNK01000004.1	105531	106400	+	870	183
gene-T240_RS0100575	NZ_AXNK01000004.1	106789	108963	+	2175	1216
gene-T240_RS0100580	NZ_AXNK01000004.1	108974	110617	+	1644	2843
gene-T240_RS0100585	NZ_AXNK01000004.1	110617	110820	+	204	63
gene-T240_RS0100590	NZ_AXNK01000004.1	110833	111723	+	891	585
gene-T240_RS0100595	NZ_AXNK01000004.1	111740	112426	+	687	417
gene-T240_RS0100600	NZ_AXNK01000004.1	112419	113564	+	1146	1594
gene-T240_RS0100605	NZ_AXNK01000004.1	113843	114514	+	672	1813
gene-T240_RS0100610	NZ_AXNK01000004.1	114548	115036	-	489	174
gene-T240_RS0100615	NZ_AXNK01000004.1	115188	115952	-	765	1228
gene-T240_RS0100620	NZ_AXNK01000004.1	116163	116615	+	453	601
gene-T240_RS0100625	NZ_AXNK01000004.1	116729	116947	-	219	27
gene-T240_RS0100630	NZ_AXNK01000004.1	117098	118021	+	924	1296
gene-T240_RS0100635	NZ_AXNK01000004.1	118018	118308	-	291	46
gene-T240_RS0100640	NZ_AXNK01000004.1	118377	119030	-	654	80
gene-T240_RS0100645	NZ_AXNK01000004.1	119197	120660	+	1464	1048
gene-T240_RS0100650	NZ_AXNK01000004.1	120790	123447	+	2658	262
gene-T240_RS0100655	NZ_AXNK01000004.1	123532	124689	-	1158	1192
gene-T240_RS0100660	NZ_AXNK01000004.1	124900	126195	+	1296	1140
gene-T240_RS0100665	NZ_AXNK01000004.1	126272	126760	-	489	107
gene-T240_RS0100670	NZ_AXNK01000004.1	127086	128066	+	981	887
gene-T240_RS0100675	NZ_AXNK01000004.1	128696	130159	+	1464	382
gene-T240_RS0100680	NZ_AXNK01000004.1	130230	131102	-	873	80
gene-T240_RS0100685	NZ_AXNK01000004.1	131284	131925	-	642	219
gene-T240_RS0100690	NZ_AXNK01000004.1	132121	132843	+	723	611
gene-T240_RS0100695	NZ_AXNK01000004.1	133262	134383	+	1122	3620
gene-T240_RS0100700	NZ_AXNK01000004.1	134456	134896	+	441	520
gene-T240_RS0100705	NZ_AXNK01000004.1	134926	137085	+	2160	963
gene-T240_RS0100710	NZ_AXNK01000004.1	137150	137524	-	375	142
gene-T240_RS0100715	NZ_AXNK01000004.1	137529	137837	-	309	12
gene-T240_RS0100720	NZ_AXNK01000004.1	137947	138837	+	891	466
gene-T240_RS0100725	NZ_AXNK01000004.1	139118	140389	+	1272	1775
gene-T240_RS0100730	NZ_AXNK01000004.1	140791	142095	+	1305	973
gene-T240_RS0100735	NZ_AXNK01000004.1	142200	142574	-	375	878
gene-T240_RS0100740	NZ_AXNK01000004.1	142740	143864	-	1125	339
gene-T240_RS0100745	NZ_AXNK01000004.1	143874	144341	-	468	84
gene-T240_RS0100750	NZ_AXNK01000004.1	144341	145078	-	738	65
gene-T240_RS24100	NZ_AXNK01000004.1	145527	145814	+	288	464
gene-T240_RS0100755	NZ_AXNK01000004.1	145911	146627	+	717	343
gene-T240_RS0100760	NZ_AXNK01000004.1	146695	148755	-	2061	638
gene-T240_RS0100765	NZ_AXNK01000004.1	148936	149613	-	678	1478
gene-T240_RS0100770	NZ_AXNK01000004.1	149765	151960	-	2196	1770
gene-T240_RS0100775	NZ_AXNK01000004.1	152228	154408	-	2181	852
gene-T240_RS0100780	NZ_AXNK01000004.1	154526	156979	-	2454	2846
gene-T240_RS0100790	NZ_AXNK01000004.1	157733	160441	+	2709	2364
gene-T240_RS0100795	NZ_AXNK01000004.1	161032	161949	+	918	1574
gene-T240_RS0100800	NZ_AXNK01000004.1	162195	162620	+	426	444
gene-T240_RS0100805	NZ_AXNK01000004.1	162630	163244	+	615	890
gene-T240_RS0100810	NZ_AXNK01000004.1	163234	163695	+	462	941
gene-T240_RS0100815	NZ_AXNK01000004.1	163872	164168	+	297	406
gene-T240_RS0100820	NZ_AXNK01000004.1	164482	165558	+	1077	2004
gene-T240_RS0100825	NZ_AXNK01000004.1	165914	167131	+	1218	14689
gene-T240_RS0100830	NZ_AXNK01000004.1	167353	167847	+	495	86
gene-T240_RS0100835	NZ_AXNK01000004.1	167898	168767	-	870	879
gene-T240_RS0100840	NZ_AXNK01000004.1	168869	169057	-	189	21
gene-T240_RS0100845	NZ_AXNK01000004.1	169205	170515	-	1311	95
gene-T240_RS0100850	NZ_AXNK01000004.1	170577	172757	-	2181	152
gene-T240_RS0100855	NZ_AXNK01000004.1	173168	173614	-	447	84
gene-T240_RS0100860	NZ_AXNK01000004.1	174312	175508	-	1197	191
gene-T240_RS0100865	NZ_AXNK01000004.1	176051	180040	+	3990	435
gene-T240_RS0100870	NZ_AXNK01000004.1	180154	181770	-	1617	512
gene-T240_RS0100875	NZ_AXNK01000004.1	182116	183726	-	1611	202
gene-T240_RS0100880	NZ_AXNK01000004.1	183847	184353	-	507	246
gene-T240_RS0100885	NZ_AXNK01000004.1	184667	185476	-	810	2512
gene-T240_RS0100890	NZ_AXNK01000004.1	185577	186875	-	1299	10030
gene-T240_RS0100895	NZ_AXNK01000004.1	187320	189311	+	1992	2402
gene-T240_RS0100900	NZ_AXNK01000004.1	189555	190199	+	645	107
gene-T240_RS0100905	NZ_AXNK01000004.1	190196	191404	+	1209	323
gene-T240_RS0100910	NZ_AXNK01000004.1	191484	193211	-	1728	3008
gene-T240_RS0100915	NZ_AXNK01000004.1	193685	194638	+	954	156
gene-T240_RS24110	NZ_AXNK01000004.1	194542	194994	+	453	242
gene-T240_RS0100925	NZ_AXNK01000004.1	195052	197799	-	2748	828
gene-T240_RS0100930	NZ_AXNK01000004.1	198216	200102	+	1887	1607
gene-T240_RS0100935	NZ_AXNK01000004.1	200221	200985	-	765	8
gene-T240_RS0100940	NZ_AXNK01000004.1	200988	201959	-	972	10
gene-T240_RS0100945	NZ_AXNK01000004.1	201956	202915	-	960	11
gene-T240_RS0100950	NZ_AXNK01000004.1	202990	203913	-	924	11
gene-T240_RS0100955	NZ_AXNK01000004.1	204015	206153	-	2139	167
gene-T240_RS0100960	NZ_AXNK01000004.1	206276	208312	-	2037	223
gene-T240_RS0100965	NZ_AXNK01000004.1	208560	209771	+	1212	312
gene-T240_RS0100970	NZ_AXNK01000004.1	209768	211600	+	1833	107
gene-T240_RS0100975	NZ_AXNK01000004.1	211607	212812	+	1206	24
gene-T240_RS0100980	NZ_AXNK01000004.1	212784	214613	+	1830	68
gene-T240_RS0100985	NZ_AXNK01000004.1	214606	215808	+	1203	33
gene-T240_RS0100990	NZ_AXNK01000004.1	215882	217126	-	1245	120
gene-T240_RS0100995	NZ_AXNK01000004.1	217129	218559	-	1431	147
gene-T240_RS0101000	NZ_AXNK01000004.1	218549	219256	-	708	673
gene-T240_RS0101005	NZ_AXNK01000004.1	219510	220952	+	1443	192
gene-T240_RS0101015	NZ_AXNK01000004.1	221708	223699	+	1992	100
gene-T240_RS0101020	NZ_AXNK01000004.1	223793	224782	-	990	42
gene-T240_RS0101025	NZ_AXNK01000004.1	224797	226311	-	1515	175
gene-T240_RS0101030	NZ_AXNK01000004.1	226368	227369	-	1002	160
gene-T240_RS0101035	NZ_AXNK01000004.1	227741	229444	+	1704	94
gene-T240_RS0101040	NZ_AXNK01000004.1	229437	230177	+	741	22
gene-T240_RS0101045	NZ_AXNK01000004.1	230187	231680	+	1494	311
gene-T240_RS0101050	NZ_AXNK01000004.1	231727	232245	+	519	32
gene-T240_RS0101055	NZ_AXNK01000004.1	232302	233141	+	840	1474
gene-T240_RS0101060	NZ_AXNK01000004.1	233212	233457	+	246	80
gene-T240_RS0101065	NZ_AXNK01000004.1	233734	234831	+	1098	252
gene-T240_RS0101070	NZ_AXNK01000004.1	234909	235331	-	423	46
gene-T240_RS0101075	NZ_AXNK01000004.1	235457	235915	+	459	236
gene-T240_RS0101080	NZ_AXNK01000004.1	236189	236746	+	558	3665
gene-T240_RS0101085	NZ_AXNK01000004.1	236904	238472	+	1569	3273
gene-T240_RS0101090	NZ_AXNK01000004.1	238814	239233	+	420	38
gene-T240_RS0101095	NZ_AXNK01000004.1	239310	239849	-	540	623
gene-T240_RS0101100	NZ_AXNK01000004.1	239977	240933	-	957	369
gene-T240_RS0101105	NZ_AXNK01000004.1	241060	241746	+	687	77
gene-T240_RS0101110	NZ_AXNK01000004.1	241831	242316	+	486	46
gene-T240_RS0101115	NZ_AXNK01000004.1	242518	243213	+	696	2175
gene-T240_RS0101125	NZ_AXNK01000004.1	243483	244568	+	1086	232
gene-T240_RS0101130	NZ_AXNK01000004.1	244590	245522	-	933	144
gene-T240_RS0101135	NZ_AXNK01000004.1	245638	246951	+	1314	165
gene-T240_RS0101140	NZ_AXNK01000004.1	247000	247992	-	993	225
gene-T240_RS0101145	NZ_AXNK01000004.1	248081	248896	-	816	154
gene-T240_RS0101150	NZ_AXNK01000004.1	249008	249700	+	693	155
gene-T240_RS0101155	NZ_AXNK01000004.1	249766	251004	-	1239	1782
gene-T240_RS0101160	NZ_AXNK01000004.1	251212	252399	-	1188	261
gene-T240_RS0101165	NZ_AXNK01000004.1	252529	253320	-	792	1766
gene-T240_RS0101170	NZ_AXNK01000004.1	253428	254411	-	984	491
gene-T240_RS0101175	NZ_AXNK01000004.1	254733	255248	+	516	160
gene-T240_RS0101180	NZ_AXNK01000004.1	255260	256561	+	1302	617
gene-T240_RS0101185	NZ_AXNK01000004.1	256613	258079	+	1467	896
gene-T240_RS0101190	NZ_AXNK01000004.1	258089	259501	+	1413	792
gene-T240_RS0101195	NZ_AXNK01000004.1	259505	260482	+	978	355
gene-T240_RS0101200	NZ_AXNK01000004.1	260492	261121	+	630	402
gene-T240_RS0101205	NZ_AXNK01000004.1	261212	261763	+	552	39
gene-T240_RS0101210	NZ_AXNK01000004.1	261724	262374	-	651	30
gene-T240_RS27205	NZ_AXNK01000004.1	262433	262567	-	135	3
gene-T240_RS0101220	NZ_AXNK01000004.1	262603	263052	-	450	22
gene-T240_RS0101225	NZ_AXNK01000004.1	263417	264340	+	924	79
gene-T240_RS0101230	NZ_AXNK01000004.1	264453	265454	-	1002	1029
gene-T240_RS0101235	NZ_AXNK01000004.1	265858	267708	+	1851	1595
gene-T240_RS0101240	NZ_AXNK01000004.1	268304	269011	+	708	497
gene-T240_RS0101245	NZ_AXNK01000004.1	269092	269568	-	477	284
gene-T240_RS26795	NZ_AXNK01000004.1	269891	270058	+	168	217
gene-T240_RS0101255	NZ_AXNK01000004.1	270066	270314	-	249	1259
gene-T240_RS0101260	NZ_AXNK01000004.1	270675	271208	+	534	120
gene-T240_RS0101265	NZ_AXNK01000004.1	271227	271661	+	435	275
gene-T240_RS0101270	NZ_AXNK01000004.1	271752	271991	-	240	120
gene-T240_RS0101275	NZ_AXNK01000004.1	272140	272670	+	531	83
gene-T240_RS0101280	NZ_AXNK01000004.1	272746	274239	-	1494	526
gene-T240_RS0101285	NZ_AXNK01000004.1	274376	275083	-	708	759
gene-T240_RS0101290	NZ_AXNK01000004.1	275095	278226	-	3132	14460
gene-T240_RS0101295	NZ_AXNK01000004.1	278614	279426	-	813	1388
gene-T240_RS0101305	NZ_AXNK01000004.1	280230	280985	+	756	617
gene-T240_RS0101310	NZ_AXNK01000004.1	281062	281697	-	636	1142
gene-T240_RS0101315	NZ_AXNK01000004.1	282159	284009	+	1851	1475
gene-T240_RS0101320	NZ_AXNK01000004.1	284002	285228	+	1227	744
gene-T240_RS0101325	NZ_AXNK01000004.1	285398	286789	+	1392	1227
gene-T240_RS0101330	NZ_AXNK01000004.1	286904	287587	+	684	601
gene-T240_RS0101335	NZ_AXNK01000004.1	287593	289506	+	1914	2864
gene-T240_RS0101340	NZ_AXNK01000004.1	289522	291636	+	2115	1078
gene-T240_RS0101350	NZ_AXNK01000004.1	292142	292735	+	594	265
gene-T240_RS0101355	NZ_AXNK01000004.1	292872	293465	+	594	127
gene-T240_RS0101360	NZ_AXNK01000004.1	293535	295160	-	1626	814
gene-T240_RS0101365	NZ_AXNK01000004.1	295302	296012	+	711	174
gene-T240_RS0101370	NZ_AXNK01000004.1	296032	296883	-	852	189
gene-T240_RS0101375	NZ_AXNK01000004.1	297126	298028	+	903	454
gene-T240_RS0101380	NZ_AXNK01000004.1	298057	299511	+	1455	270
gene-T240_RS0101385	NZ_AXNK01000004.1	299660	300715	+	1056	143
gene-T240_RS0101390	NZ_AXNK01000004.1	300805	301470	-	666	116
gene-T240_RS0101395	NZ_AXNK01000004.1	301508	302419	-	912	185
gene-T240_RS0101400	NZ_AXNK01000004.1	302508	303167	+	660	154
gene-T240_RS0101405	NZ_AXNK01000004.1	303224	304903	-	1680	3492
gene-T240_RS0101410	NZ_AXNK01000004.1	305330	307351	-	2022	2810
gene-T240_RS0101415	NZ_AXNK01000004.1	307476	308450	-	975	1999
gene-T240_RS0101420	NZ_AXNK01000004.1	308458	309675	-	1218	5913
gene-T240_RS0101430	NZ_AXNK01000004.1	310927	312897	+	1971	6351
gene-T240_RS0101435	NZ_AXNK01000004.1	313186	313653	-	468	710
gene-T240_RS0101440	NZ_AXNK01000004.1	313653	314585	-	933	267
gene-T240_RS0101445	NZ_AXNK01000004.1	314582	315436	-	855	199
gene-T240_RS0101450	NZ_AXNK01000004.1	315799	315999	+	201	306
gene-T240_RS24140	NZ_AXNK01000004.1	316244	317305	+	1062	2125
gene-T240_RS0101465	NZ_AXNK01000004.1	317411	318166	-	756	889
gene-T240_RS0101470	NZ_AXNK01000004.1	318235	320133	+	1899	3275
gene-T240_RS0101475	NZ_AXNK01000004.1	320235	320444	+	210	3450
gene-T240_RS0101480	NZ_AXNK01000004.1	320579	321295	+	717	6110
gene-T240_RS0101485	NZ_AXNK01000004.1	321372	322454	-	1083	208
gene-T240_RS0101495	NZ_AXNK01000004.1	322912	323580	+	669	45
gene-T240_RS0101500	NZ_AXNK01000004.1	323590	324288	+	699	7
gene-T240_RS0101505	NZ_AXNK01000004.1	324276	325544	+	1269	122
gene-T240_RS0101510	NZ_AXNK01000004.1	325537	326310	+	774	124
gene-T240_RS0101515	NZ_AXNK01000004.1	326418	327683	+	1266	42
gene-T240_RS0101520	NZ_AXNK01000004.1	327684	328715	+	1032	100
gene-T240_RS0101525	NZ_AXNK01000004.1	328717	329508	+	792	105
gene-T240_RS0101530	NZ_AXNK01000004.1	329586	330221	+	636	69
gene-T240_RS0101535	NZ_AXNK01000004.1	330324	330818	-	495	65
gene-T240_RS0101540	NZ_AXNK01000004.1	330937	332598	-	1662	2410
gene-T240_RS0101545	NZ_AXNK01000004.1	332778	333164	-	387	350
gene-T240_RS0101550	NZ_AXNK01000004.1	333166	333993	-	828	1059
gene-T240_RS0101555	NZ_AXNK01000004.1	334243	334881	+	639	362
gene-T240_RS0101560	NZ_AXNK01000004.1	335426	336661	+	1236	2767
gene-T240_RS0101565	NZ_AXNK01000004.1	336760	337590	-	831	201
gene-T240_RS0101570	NZ_AXNK01000004.1	337590	338447	-	858	247
gene-T240_RS0101575	NZ_AXNK01000004.1	338444	338815	-	372	99
gene-T240_RS0101580	NZ_AXNK01000004.1	339250	340476	+	1227	327
gene-T240_RS0101585	NZ_AXNK01000004.1	340654	341520	+	867	288
gene-T240_RS0101590	NZ_AXNK01000004.1	341648	342448	-	801	1040
gene-T240_RS0101595	NZ_AXNK01000004.1	342834	343085	+	252	92
gene-T240_RS0101600	NZ_AXNK01000004.1	343237	343590	-	354	122
gene-T240_RS0101605	NZ_AXNK01000004.1	343739	344638	+	900	1540
gene-T240_RS0101610	NZ_AXNK01000004.1	344758	345453	-	696	810
gene-T240_RS0101615	NZ_AXNK01000004.1	345475	345918	-	444	506
gene-T240_RS0101620	NZ_AXNK01000004.1	346268	346471	-	204	22477
gene-T240_RS0101625	NZ_AXNK01000004.1	346652	348019	+	1368	813
gene-T240_RS0101630	NZ_AXNK01000004.1	348016	348498	+	483	402
gene-T240_RS0101635	NZ_AXNK01000004.1	348598	349416	+	819	1219
gene-T240_RS0101640	NZ_AXNK01000004.1	349500	350108	-	609	2161
gene-T240_RS0101645	NZ_AXNK01000004.1	350310	350705	+	396	203
gene-T240_RS0101650	NZ_AXNK01000004.1	350733	352163	-	1431	911
gene-T240_RS0101660	NZ_AXNK01000004.1	352574	353599	-	1026	87
gene-T240_RS0101665	NZ_AXNK01000004.1	353853	354443	+	591	108
gene-T240_RS0101670	NZ_AXNK01000004.1	354564	355421	+	858	169
gene-T240_RS0101675	NZ_AXNK01000004.1	355539	358085	-	2547	456
gene-T240_RS0101680	NZ_AXNK01000004.1	358454	358957	-	504	561
gene-T240_RS0101685	NZ_AXNK01000004.1	359282	359566	+	285	124
gene-T240_RS0101690	NZ_AXNK01000004.1	359737	360018	+	282	287
gene-T240_RS0101695	NZ_AXNK01000004.1	360038	361195	-	1158	1623
gene-T240_RS0101700	NZ_AXNK01000004.1	361771	363111	+	1341	128
gene-T240_RS0101705	NZ_AXNK01000004.1	363200	364879	-	1680	622
gene-T240_RS0101710	NZ_AXNK01000004.1	364997	365617	-	621	55
gene-T240_RS0101715	NZ_AXNK01000004.1	365611	366477	-	867	36
gene-T240_RS0101720	NZ_AXNK01000004.1	366604	367491	+	888	197
gene-T240_RS0101725	NZ_AXNK01000004.1	367587	368390	+	804	569
gene-T240_RS0101730	NZ_AXNK01000004.1	368499	368888	-	390	518
gene-T240_RS0101735	NZ_AXNK01000004.1	368913	370004	-	1092	464
gene-T240_RS0101740	NZ_AXNK01000004.1	370004	370465	-	462	860
gene-T240_RS0101745	NZ_AXNK01000004.1	370911	371750	-	840	914
gene-T240_RS0101750	NZ_AXNK01000004.1	371812	372960	-	1149	1476
gene-T240_RS0101755	NZ_AXNK01000004.1	373254	374060	+	807	154
gene-T240_RS0101760	NZ_AXNK01000004.1	374141	375010	+	870	410
gene-T240_RS0101765	NZ_AXNK01000004.1	375011	375721	-	711	182
gene-T240_RS0101770	NZ_AXNK01000004.1	375724	377592	-	1869	812
gene-T240_RS0101775	NZ_AXNK01000004.1	377676	378458	-	783	3028
gene-T240_RS0101780	NZ_AXNK01000004.1	378714	379475	+	762	189
gene-T240_RS0101785	NZ_AXNK01000004.1	379494	380018	+	525	53
gene-T240_RS0101790	NZ_AXNK01000004.1	380026	380346	+	321	62
gene-T240_RS0101795	NZ_AXNK01000004.1	380387	381022	+	636	526
gene-T240_RS0101800	NZ_AXNK01000004.1	381099	382010	+	912	60
gene-T240_RS0101805	NZ_AXNK01000004.1	382109	383038	+	930	190
gene-T240_RS0101810	NZ_AXNK01000004.1	383050	383673	+	624	177
gene-T240_RS0101815	NZ_AXNK01000004.1	383859	385598	-	1740	32
gene-T240_RS0101820	NZ_AXNK01000004.1	385728	386405	+	678	12
gene-T240_RS0101825	NZ_AXNK01000004.1	386421	388649	+	2229	47
gene-T240_RS0101830	NZ_AXNK01000004.1	388950	390722	+	1773	460
